#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.16889,         32,          0,          0, (null)
   0.16989,       1270,          0,          0, (null)
   0.17072,       1270,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-0.png
   0.37596,       1302,          1,          0, (null)
   0.37637,       2304,          1,          0, (null)
   0.37708,       2304,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.53846,       2336,          2,          0, (null)
   0.53988,       3377,          2,          0, (null)
   0.54061,       3377,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.85256,       3409,          3,          0, (null)
   0.85303,       4672,          3,          0, (null)
   0.85409,       4672,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   1.03923,       4704,          4,          0, (null)
   1.07736,       5945,          4,          0, (null)
   1.07856,       5945,          5,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   1.27874,       5981,          5,          0, (null)
   1.27906,      10077,          5,          0, (null)
   1.27926,      11709,          5,          0, (null)
   1.27945,      14573,          5,          0, (null)
   1.27975,      16005,          5,          0, (null)
   1.28009,      17437,          5,          0, (null)
   1.28058,      18869,          5,          0, (null)
   1.32918,      22965,          5,          0, (null)
   1.32941,      25841,          5,          0, (null)
   1.34527,      27273,          5,          0, (null)
   1.34571,      31369,          5,          0, (null)
   1.34597,      33001,          5,          0, (null)
   1.34622,      37097,          5,          0, (null)
   1.34641,      38729,          5,          0, (null)
   1.34662,      40385,          5,          0, (null)
   1.37427,      43249,          5,          0, (null)
   1.37518,      47345,          5,          0, (null)
   1.37565,      47545,          5,          0, (null)
   1.37610,      48977,          5,          0, (null)
   1.37629,      51841,          5,          0, (null)
   1.41844,      53273,          5,          0, (null)
   1.42054,      56137,          5,          0, (null)
   1.42274,      60233,          5,          0, (null)
   1.42376,      60433,          5,          0, (null)
   1.42398,      64529,          5,          0, (null)
   1.42420,      64729,          5,          0, (null)
   1.46168,      68825,          5,          0, (null)
   1.46188,      72921,          5,          0, (null)
   1.46203,      77017,          5,          0, (null)
   1.46217,      81113,          5,          0, (null)
   1.46230,      85209,          5,          0, (null)
   1.46244,      89305,          5,          0, (null)
   1.46257,      93401,          5,          0, (null)
   1.46271,      94801,          5,          0, (null)
   1.48391,      98897,          5,          0, (null)
   1.48447,     102993,          5,          0, (null)
   1.48476,     107089,          5,          0, (null)
   1.48495,     111185,          5,          0, (null)
   1.48518,     115281,          5,          0, (null)
   1.48533,     119377,          5,          0, (null)
   1.48547,     123473,          5,          0, (null)
   1.48562,     127569,          5,          0, (null)
   1.48603,     131665,          5,          0, (null)
   1.48624,     135761,          5,          0, (null)
   1.48638,     139857,          5,          0, (null)
   1.48651,     143953,          5,          0, (null)
   1.48662,     148049,          5,          0, (null)
   1.48678,     152145,          5,          0, (null)
   1.48690,     156241,          5,          0, (null)
   1.48704,     160337,          5,          0, (null)
   1.48718,     160673,          5,          0, (null)
   1.48741,     162105,          5,          0, (null)
   1.50835,     166201,          5,          0, (null)
   1.50895,     166401,          5,          0, (null)
   1.50918,     169265,          5,          0, (null)
   1.50981,     170697,          5,          0, (null)
   1.51130,     173561,          5,          0, (null)
   1.51421,     177657,          5,          0, (null)
   1.51449,     177857,          5,          0, (null)
   1.51496,     181953,          5,          0, (null)
   1.51520,     183585,          5,          0, (null)
   1.51539,     186449,          5,          0, (null)
   1.51560,     187881,          5,          0, (null)
   1.51628,     190745,          5,          0, (null)
   1.51698,     193609,          5,          0, (null)
   1.51834,     195041,          5,          0, (null)
   1.51870,     199137,          5,          0, (null)
   1.51887,     200769,          5,          0, (null)
   1.51999,     202201,          5,          0, (null)
   1.52049,     205065,          5,          0, (null)
   1.52083,     206497,          5,          0, (null)
   1.52134,     207929,          5,          0, (null)
   1.55769,     212025,          5,          0, (null)
   1.55792,     216121,          5,          0, (null)
   1.55816,     220217,          5,          0, (null)
   1.55833,     224313,          5,          0, (null)
   1.55860,     228409,          5,          0, (null)
   1.55875,     232505,          5,          0, (null)
   1.55890,     236601,          5,          0, (null)
   1.55904,     239119,          5,          0, (null)
   1.55948,     239119,          6,          0, /courses/ud923/filecorpus/paraglider.jpg
   1.75091,     239137,          6,          0, (null)
